Index,Name,Color
193,S2050-G80Y,#c0e050
194,S3050-G80Y,#a8b844
195,S4050-G80Y,#8c9028
196,S0560-G80Y,#f4fc68
197,S1060-G80Y,#e4fc58
198,S2060-G80Y,#c8e444
199,S3060-G80Y,#a4b82c
200,S0570-G80Y,#f0fc50
201,S1070-G80Y,#e0fc40
202,S2070-G80Y,#e0e434
203,S1075-G80Y,#ecfc3c
204,S4010-G90Y,#949478
205,S6010-G90Y,#60604c
206,S8010-G90Y,#242414
207,S4020-G90Y,#9c9c68
208,S5020-G90Y,#7c7c50
209,S6020-G90Y,#605c38
210,S7020-G90Y,#3c3418
211,S4030-G90Y,#9c9c54
212,S5030-G90Y,#84803c
213,S6030-G90Y,#5c5424
214,S0575-G90Y,#fcfc54
215,S0300-N,#f8fcfc
216,S5000-N,#707080
217,S1002-Y,#e0e8dc
218,S4020-Y,#a09460
219,S5020-Y,#847844
220,S6020-Y,#685c30
221,S7020-Y,#403410
222,S4030-Y,#a0944c
223,S5030-Y,#847034
224,S6030-Y,#604c18
225,S0580-Y,#fcfc44
226,S8010-Y10R,#2c2010
227,S0580-Y10R,#fcfc3c
228,S1005-Y20R,#f0f0d8
229,S3560-Y20R,#c88018
230,S4550-Y30R,#a05810
231,S0502-Y50R,#fcf8f0
232,S1002-Y50R,#e4e4e0
233,S1502-Y50R,#d4d4d4
234,S2002-Y50R,#c8c4c4
235,S1005-Y50R,#f0e4d4
236,S1005-Y80R,#e8dcd4
237,S0550-Y80R,#fc9468
238,S0570-Y80R,#fc6c2c
239,S1070-Y80R,#fc5c24
240,S2070-Y80R,#e03804
241,S1080-Y80R,#fc4c00
242,S0804-Y90R,#f0e8ec
243,S0505-Y90R,#f8ece8
244,S1005-Y90R,#e8dcdc
245,S2005-Y90R,#c8bcbc
246,S0907-Y90R,#f0e0dc
247,S0510-Y90R,#fce8e4
248,S1010-Y90R,#f0d8d4
249,S1510-Y90R,#dcc4c0
250,S2010-Y90R,#d0b4ac
251,S3010-Y90R,#b09894
252,S5010-Y90R,#7c6058
253,S7010-Y90R,#482c24
254,S0515-Y90R,#fce0d4
255,S1015-Y90R,#f4c8c0
256,S1515-Y90R,#e0b8b0
257,S0520-Y90R,#fcd0c4
258,S1020-Y90R,#f4c0b4
259,S2020-Y90R,#d49c94
260,S3020-Y90R,#b88078
261,S4020-Y90R,#9c685c
262,S5020-Y90R,#7c4440
263,S6020-Y90R,#5c2c28
264,S7020-Y90R,#380804
265,S0530-Y90R,#fcbca8
266,S1030-Y90R,#f8a494
267,S2030-Y90R,#dc8878
268,S3030-Y90R,#bc6858
269,S4030-Y90R,#9c5044
270,S5030-Y90R,#783024
271,S6030-Y90R,#541008
272,S1040-Y90R,#fc947c
273,S2040-Y90R,#e07460
274,S3040-Y90R,#bc5440
275,S4040-Y90R,#a0402c
276,S5040-Y90R,#6c1808
277,S1050-Y90R,#fc7c5c
278,S2050-Y90R,#e46044
279,S3050-Y90R,#c04428
280,S4050-Y90R,#881c08
281,S2060-Y90R,#dc4424
282,S3060-Y90R,#a82408
283,S2570-Y90R,#b81c00
284,S1002-R,#e4e0e8
285,S8010-R10B,#18000c
286,S1005-R20B,#dcd0e0
287,S1005-R50B,#d4d4ec
288,S1005-R80B,#ccd4e8
289,S0507-R80B,#d0e0fc
290,S0510-R80B,#c0d8f8
291,S1010-R80B,#b4c8e8
292,S2010-R80B,#94a4d0
293,S1015-R80B,#98b4ec
294,S1515-R80B,#8ca4dc
295,S1555-R80B,#001cdc
296,S3560-R80B,#000094
297,S3010-R90B,#6c84ac
298,S5010-R90B,#3c4c80
299,S7010-R90B,#081844
300,S0520-R90B,#84b8f0
301,S1020-R90B,#78ace4
302,S2020-R90B,#5884c4
303,S3020-R90B,#4064a8
304,S4020-R90B,#284c90
305,S5020-R90B,#143078
306,S6020-R90B,#000c58
307,S7020-R90B,#000034
308,S0530-R90B,#5098e8
309,S1030-R90B,#4c88dc
310,S2030-R90B,#306cc0
311,S3030-R90B,#184cac
312,S4030-R90B,#003090
313,S5030-R90B,#000c70
314,S6030-R90B,#00004c
315,S1040-R90B,#246cd4
316,S2040-R90B,#084cbc
317,S3040-R90B,#0028a4
318,S4040-R90B,#000888
319,S5040-R90B,#000060
320,S2050-R90B,#0028b8
321,S3050-R90B,#000ca0
322,S4050-R90B,#000074
323,S4550-R90B,#00005c
324,S2060-R90B,#0008b8
325,S3060-R90B,#000094
326,S1002-B,#ccd8ec
327,S0540-B,#0c90c8
328,S5540-B,#00003c
329,S1050-B,#005cb4
330,S8010-B10G,#00001c
331,S1005-B20G,#b4d4e0
332,S0505-B80G,#d4f4f0
333,S1005-B80G,#c0e0dc
334,S1005-B80G,#c0e0dc
335,S2005-B80G,#9cbcc0
336,S0907-B80G,#b8e4dc
337,S1015-B80G,#80dcc4
338,S1515-B80G,#6cc8b0
339,S0510-B90G,#b8f4e0
340,S1010-B90G,#a8e0cc
341,S2010-B90G,#7cc0a8
342,S5010-B90G,#2c685c
343,S7010-B90G,#04342c
344,S2040-B90G,#00a44c
345,S4040-B90G,#006410
346,S5040-B90G,#003c00
347,S5540-B90G,#002400
348,S2050-B90G,#009c24
349,S3050-B90G,#00780c
350,S4050-B90G,#005000
351,S4550-B90G,#003c00
352,S2060-B90G,#008c00
353,S1002-G,#d0e0e4
354,S3010-G,#68a08c
355,S0520-G,#84f8c0
356,S1020-G,#60d8a0
357,S2020-G,#4cbc8c
358,S3020-G,#2c9c6c
359,S4020-G,#107c4c
360,S5020-G,#006434
361,S6020-G,#00481c
362,S7020-G,#002000
363,S0530-G,#38e894
364,S1030-G,#30d488
365,S2030-G,#10b468
366,S3030-G,#00944c
367,S4030-G,#00742c
368,S5030-G,#005414
369,S6030-G,#003000
370,S1040-G,#00cc68
371,S3040-G,#008c2c
372,S1050-G,#00c83c
373,S3050-G,#008008
374,S1060-G,#00bc18
375,S3060-G,#006c00
376,S3560-G,#005c00
377,S1565-G,#009c00
378,S8010-G10Y,#001404
379,S0540-G10Y,#18ec78
380,S1050-G10Y,#00d440
381,S2070-G10Y,#009000
382,S1005-G20Y,#cce8d8
383,S0550-G20Y,#00ec48
384,S0560-G20Y,#00f42c
385,S0570-G20Y,#00e404
386,S1005-G50Y,#d0e8d4
387,S1005-G80Y,#e4f0dc
388,S0804-G90Y,#ecf8e4
389,S0505-G90Y,#f8fcec
390,S1005-G90Y,#e4f0d8
391,S1505-G90Y,#d0dcc8
392,S2005-G90Y,#c8d0bc
393,S0907-G90Y,#e8f4d8
394,S0510-G90Y,#f4fcdc
395,S1010-G90Y,#e0f0c8
396,S1510-G90Y,#d8e4bc
397,S2010-G90Y,#ccd0ac
398,S3010-G90Y,#b0b494
399,S5010-G90Y,#7c7c64
400,S7010-G90Y,#40402c
401,S0515-G90Y,#f8fcd0
402,S1015-G90Y,#ecfcc0
403,S1515-G90Y,#d8e8b0
404,S0520-G90Y,#f8fcc0
405,S1020-G90Y,#ecfcb4
406,S2020-G90Y,#d0dc9c
407,S3020-G90Y,#bcbc80
408,S0530-G90Y,#fcfcb0
409,S1030-G90Y,#ecfc9c
410,S2030-G90Y,#d0dc80
411,S3030-G90Y,#bcbc6c
412,S0540-G90Y,#fcfc9c
413,S1040-G90Y,#f4fc8c
414,S2040-G90Y,#dce870
415,S3040-G90Y,#bcbc58
416,S4040-G90Y,#9c9840
417,S5040-G90Y,#7c7024
418,S0550-G90Y,#fcfc88
419,S1050-G90Y,#fcfc74
420,S2050-G90Y,#d8e45c
421,S3050-G90Y,#b8b844
422,S4050-G90Y,#9c9430
423,S0560-G90Y,#fcfc70
424,S1060-G90Y,#fcfc64
425,S2060-G90Y,#e4e44c
426,S3060-G90Y,#bcb434
427,S0570-G90Y,#fcfc60
428,S1070-G90Y,#fcfc54
429,S2070-G90Y,#f0e030
430,S1075-G90Y,#fcfc44
431,S0500-N,#f0f4fc
432,S5500-N,#646474
433,S0502-Y,#f4fcf0
434,S1502-Y,#d0d8cc
435,S0505-Y,#f8fce8
436,S1005-Y,#e8f0d8
437,S1505-Y,#d8e0c8
438,S2005-Y,#c8ccbc
439,S0507-Y,#fcfce4
440,S0510-Y,#fcfcd4
441,S1010-Y,#f0f4c8
442,S1510-Y,#e0e4c0
